-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	101	100	99	98	97	96	95	94	93	92	-1	-1	83	82	81	80	79	78	77	76	75	74	-1	
-1	102	-1	-1	120	-1	-1	119	-1	-1	91	-1	-1	84	-1	-1	143	-1	-1	147	-1	-1	73	-1	
-1	103	-1	-1	121	122	123	118	-1	-1	90	-1	-1	85	-1	-1	144	145	146	148	-1	-1	72	-1	
-1	104	126	125	124	-1	-1	117	127	128	89	88	87	86	137	138	139	-1	-1	149	150	151	71	-1	
-1	105	-1	-1	-1	-1	115	116	-1	129	-1	-1	-1	-1	136	-1	140	141	-1	-1	-1	-1	70	-1	
-1	106	107	108	109	110	114	-1	-1	130	131	132	133	134	135	-1	-1	142	65	66	67	68	69	-1	
-1	-1	-1	-1	-1	111	-1	-1	-1	-1	192	-1	-1	193	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	112	-1	-1	196	197	198	199	200	201	202	203	-1	-1	63	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	113	-1	194	195	-1	-1	-1	-1	-1	-1	204	205	-1	62	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	0	235	234	-1	-1	-1	-1	-1	-1	-1	-1	206	207	61	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	1	-1	233	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	60	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	2	-1	232	-1	-1	-1	-1	-1	-1	-1	-1	209	-1	59	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	3	-1	231	-1	221	220	219	218	217	216	-1	210	-1	58	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	4	-1	230	-1	222	-1	-1	-1	-1	215	-1	211	-1	57	-1	-1	-1	-1	-1	
-1	9	8	7	6	5	-1	229	228	223	224	225	226	227	214	213	212	-1	56	55	54	53	52	-1	
-1	10	-1	-1	162	-1	-1	-1	-1	190	-1	-1	-1	-1	191	-1	-1	-1	-1	178	-1	-1	51	-1	
-1	11	-1	-1	163	164	165	167	168	169	170	-1	-1	171	172	173	174	175	176	177	-1	-1	50	-1	
-1	12	-1	-1	-1	-1	166	-1	-1	-1	29	30	31	32	-1	-1	-1	179	-1	-1	-1	-1	49	-1	
-1	13	152	153	154	155	156	157	-1	27	28	-1	-1	33	34	-1	181	180	184	185	186	187	48	-1	
-1	14	-1	-1	-1	160	-1	158	-1	26	-1	-1	-1	-1	35	-1	182	-1	188	-1	-1	-1	47	-1	
-1	15	-1	-1	-1	161	-1	159	-1	25	-1	-1	-1	-1	36	-1	183	-1	189	-1	-1	-1	46	-1	
-1	16	17	18	19	20	21	22	23	24	-1	-1	-1	-1	37	38	39	40	41	42	43	44	45	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
